site-8i,site-2b,site-8i,site-8j,site-4f,nCr,nFe,nNi,dE/atom,vol-ev,ene-ev
Ni,Ni,Ni,Cr,Fe,8,4,18,0.081996733,339.624478,-212.544352
Ni,Cr,Cr,Cr,Ni,18,0,12,0.1300901,345.972683,-239.060148
Ni,Fe,Cr,Cr,Ni,16,2,12,0.125418067,341.007876,-236.822054
Ni,Ni,Cr,Cr,Ni,16,0,14,0.125819667,342.141312,-231.454232
Ni,Cr,Fe,Cr,Ni,10,8,12,0.108833067,340.104425,-230.184839
Ni,Fe,Fe,Cr,Ni,8,10,12,0.102579867,339.52222,-227.99418
Ni,Ni,Fe,Cr,Ni,8,8,14,0.094293167,340.913586,-222.887007
Ni,Cr,Ni,Cr,Ni,10,0,20,0.098534267,336.443016,-209.070707
Ni,Fe,Ni,Cr,Ni,8,2,20,0.104064833,337.767743,-206.526535
Ni,Ni,Ni,Cr,Ni,8,0,22,0.101578,336.423726,-201.245366
Ni,Cr,Cr,Fe,Cr,14,8,8,0.126637967,345.08689,-245.11875
Ni,Fe,Cr,Fe,Cr,12,10,8,0.1160014,341.822684,-243.059592
Ni,Ni,Cr,Fe,Cr,12,8,10,0.121918867,342.800342,-237.526294
Ni,Cr,Fe,Fe,Cr,6,16,8,0.0867726,347.916776,-236.801691
Ni,Fe,Fe,Fe,Cr,4,18,8,0.076243567,348.062278,-234.739307
Ni,Ni,Fe,Fe,Cr,4,16,10,0.074684167,347.766412,-229.430315
Ni,Cr,Ni,Fe,Cr,6,8,16,0.081458167,341.707607,-215.538028
Ni,Fe,Ni,Fe,Cr,4,10,16,0.094510933,336.29208,-212.76819
Ni,Ni,Ni,Fe,Cr,4,8,18,0.059627667,342.511911,-208.458914
Ni,Cr,Cr,Fe,Fe,10,12,8,0.1197283,343.77696,-240.56953
Ni,Fe,Cr,Fe,Fe,8,14,8,0.1222718,343.79583,-238.11497
Ni,Ni,Cr,Fe,Fe,8,12,10,0.141814467,337.387987,-232.172916
Ni,Cr,Fe,Fe,Fe,2,20,8,0.0400682,351.446955,-233.446313
Ni,Fe,Fe,Fe,Fe,0,22,8,0.022471233,357.118631,-231.595967
Ni,Ni,Fe,Fe,Fe,0,20,10,0.030294633,353.094934,-226.005491
Ni,Cr,Ni,Fe,Fe,2,12,16,0.0396711,341.71598,-212.03513
Ni,Fe,Ni,Fe,Fe,0,14,16,0.0112978,348.302962,-210.508074
Ni,Ni,Ni,Fe,Fe,0,12,18,-0.0021412,344.491827,-205.55547
Ni,Cr,Cr,Fe,Ni,10,8,12,0.1160697,343.227598,-229.96774
Ni,Fe,Cr,Fe,Ni,8,10,12,0.1040142,341.619848,-227.95115
Ni,Ni,Cr,Fe,Ni,8,8,14,0.105011033,341.989147,-222.565471
Ni,Cr,Fe,Fe,Ni,2,16,12,0.055309033,345.64891,-222.27754
Ni,Fe,Fe,Fe,Ni,0,18,12,0.053196267,349.744158,-219.962668
Ni,Ni,Fe,Fe,Ni,0,16,14,0.0393652,348.361916,-215.021826
Ni,Cr,Ni,Fe,Ni,2,8,20,0.059219167,338.92021,-200.73714
Ni,Fe,Ni,Fe,Ni,0,10,20,0.0330069,343.225977,-199.145253
Ni,Ni,Ni,Fe,Ni,0,8,22,0.0331207,341.402901,-193.786065
Ni,Cr,Cr,Ni,Cr,14,0,16,0.108892367,341.191723,-224.228022
Ni,Fe,Cr,Ni,Cr,12,2,16,0.0883581,340.410625,-222.465795
Ni,Ni,Cr,Ni,Cr,12,0,18,0.100162133,341.0247,-216.7559
Ni,Cr,Fe,Ni,Cr,6,8,16,0.079888067,344.341994,-215.585131
Ni,Fe,Fe,Ni,Cr,4,10,16,0.0652354,343.605321,-213.646456
Ni,Ni,Fe,Ni,Cr,4,8,18,0.061658367,344.510272,-208.397993
Ni,Cr,Ni,Ni,Cr,6,0,24,0.092139567,335.14188,-193.79449
Ni,Fe,Ni,Ni,Cr,4,2,24,0.093399767,336.490222,-191.378429
Ni,Ni,Ni,Ni,Cr,4,0,26,0.0936988,334.065296,-186.013684
Ni,Cr,Cr,Ni,Fe,10,4,16,0.1160813,341.156157,-219.255844
Ni,Fe,Cr,Ni,Fe,8,6,16,0.102731267,339.17049,-217.27809
Ni,Ni,Cr,Ni,Fe,8,4,18,0.103686967,340.403669,-211.893645
Ni,Cr,Fe,Ni,Fe,2,12,16,0.037126467,345.491627,-212.111469
Ni,Fe,Fe,Ni,Fe,0,14,16,0.0206046,346.22095,-210.22887
Ni,Ni,Fe,Ni,Fe,0,12,18,0.005485333,346.573447,-205.326674
Ni,Cr,Ni,Ni,Fe,2,4,24,0.074636567,335.48565,-189.56307
Ni,Fe,Ni,Ni,Fe,0,6,24,0.0435492,339.781022,-188.117436
Ni,Ni,Ni,Ni,Fe,0,4,26,0.045072967,337.416091,-182.715949
Ni,Cr,Cr,Ni,Ni,10,0,20,0.1089915,338.617209,-208.75699
Ni,Fe,Cr,Ni,Ni,8,2,20,0.095640933,336.814188,-206.779252
Ni,Ni,Cr,Ni,Ni,8,0,22,0.1011862,335.771,-201.25712
Ni,Cr,Fe,Ni,Ni,2,8,20,0.054560167,342.02502,-200.87691
Ni,Fe,Fe,Ni,Ni,0,10,20,0.037289433,343.656242,-199.016777
Ni,Ni,Fe,Ni,Ni,0,8,22,0.0255972,341.851278,-194.01177
Ni,Cr,Ni,Ni,Ni,2,0,28,0.1047004,333.642814,-177.949607
Ni,Fe,Ni,Ni,Ni,0,2,28,0.080668733,336.563205,-176.292302
Ni,Ni,Ni,Ni,Ni,0,0,30,0.102019733,334.71189,-170.295998
